epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,309.886,1.01671,0.82922,1.17113,0.70641,0.85714,0.78609,0.52902,1.15948,1.09816,1.34255,0.0005942,0.0005942,0.0005942
73,313.803,1.01279,0.82933,1.16911,0.65855,0.85714,0.79435,0.55119,1.14334,1.07579,1.31521,0.0005744,0.0005744,0.0005744
74,317.686,1.05682,0.83199,1.20448,0.70458,0.82857,0.80779,0.58921,1.13742,1.04372,1.31617,0.0005546,0.0005546,0.0005546
75,322.621,1.03457,0.82152,1.20939,0.80525,0.77143,0.79619,0.56522,1.1705,1.03388,1.33746,0.0005348,0.0005348,0.0005348
76,326.676,1.0478,0.76762,1.15109,0.69443,0.84426,0.78396,0.55543,1.17217,1.06162,1.3594,0.000515,0.000515,0.000515
77,330.531,1.01971,0.77248,1.1612,0.86528,0.68571,0.78172,0.5564,1.16847,1.06818,1.36092,0.0004952,0.0004952,0.0004952
78,335.028,1.00608,0.86789,1.18926,0.78405,0.8,0.79487,0.55662,1.14492,1.08321,1.33333,0.0004754,0.0004754,0.0004754
79,339.476,1.00064,0.80839,1.23268,0.84734,0.79311,0.79823,0.56903,1.09112,1.06354,1.30758,0.0004556,0.0004556,0.0004556
80,343.35,1.00574,0.87563,1.18415,0.86491,0.73192,0.83003,0.6076,1.10026,1.04759,1.2848,0.0004358,0.0004358,0.0004358
81,347.93,1.05553,0.88297,1.20977,0.85265,0.74286,0.81772,0.5714,1.16594,1.10127,1.29346,0.000416,0.000416,0.000416
82,352.408,0.98064,0.81014,1.16587,0.77111,0.8,0.78034,0.53707,1.13308,1.10783,1.2619,0.0003962,0.0003962,0.0003962
83,356.635,0.94302,0.83693,1.18315,0.76688,0.84608,0.79481,0.55797,1.09921,1.05274,1.25471,0.0003764,0.0003764,0.0003764
84,360.876,0.96914,0.79897,1.1445,0.80967,0.82857,0.80735,0.58181,1.07778,1.03204,1.25244,0.0003566,0.0003566,0.0003566
85,365.338,0.92724,0.78141,1.14539,0.77646,0.82857,0.81674,0.56698,1.0878,1.06039,1.27806,0.0003368,0.0003368,0.0003368
86,369.194,0.94536,0.73841,1.16463,0.78882,0.85386,0.82252,0.54938,1.13887,1.08754,1.28547,0.000317,0.000317,0.000317
87,373.058,0.966,0.77093,1.17071,0.84417,0.77397,0.83264,0.57102,1.10494,1.07635,1.25137,0.0002972,0.0002972,0.0002972
88,378.006,0.99844,0.78147,1.17768,0.85264,0.82666,0.83887,0.59841,1.08715,1.06293,1.2371,0.0002774,0.0002774,0.0002774
89,381.962,0.99875,0.81402,1.17991,0.87349,0.78931,0.84214,0.61578,1.11532,1.05866,1.24792,0.0002576,0.0002576,0.0002576
90,385.549,0.93168,0.74905,1.16004,0.89013,0.8,0.84621,0.60024,1.114,1.03693,1.24022,0.0002378,0.0002378,0.0002378
91,392.487,0.93405,0.93602,1.24882,0.89378,0.8,0.83076,0.5775,1.13464,1.05005,1.25586,0.000218,0.000218,0.000218
92,396.196,0.97837,0.93074,1.32918,0.83805,0.85714,0.81877,0.55911,1.13304,1.05293,1.28369,0.0001982,0.0001982,0.0001982
93,399.655,0.86918,0.77415,1.22072,0.81235,0.85714,0.82143,0.55139,1.12982,1.06686,1.29743,0.0001784,0.0001784,0.0001784
94,404.642,0.89061,0.78424,1.18995,0.85429,0.83778,0.81712,0.56213,1.11706,1.07509,1.29439,0.0001586,0.0001586,0.0001586
95,408.148,0.85182,0.75438,1.22299,0.85517,0.82857,0.80986,0.56135,1.11534,1.06294,1.29109,0.0001388,0.0001388,0.0001388
96,411.831,0.87454,0.73143,1.19973,0.85658,0.85332,0.80821,0.56457,1.10183,1.0938,1.28905,0.000119,0.000119,0.000119
97,416.64,0.86064,0.75931,1.23066,0.83024,0.8386,0.80063,0.5632,1.08847,1.09993,1.28497,9.92e-05,9.92e-05,9.92e-05
98,420.359,0.80673,0.69595,1.16372,0.85667,0.85395,0.80537,0.56185,1.08325,1.08244,1.28121,7.94e-05,7.94e-05,7.94e-05
99,423.801,0.79681,0.67851,1.16612,0.85019,0.85714,0.80826,0.56502,1.07469,1.07925,1.27397,5.96e-05,5.96e-05,5.96e-05
100,427.676,0.81373,0.67596,1.17496,0.82974,0.83556,0.81073,0.56037,1.07567,1.07396,1.26464,3.98e-05,3.98e-05,3.98e-05
