x, y, xFulc, yFulc 
251, 337, 276, 709
249, 337, 276, 709
249, 337, 276, 709
249, 337, 276, 709
248, 337, 276, 709
249, 336, 276, 709
248, 337, 276, 709
249, 336, 276, 709
248, 337, 276, 709
248, 337, 276, 709
247, 337, 276, 709
246, 337, 276, 709
247, 337, 276, 709
247, 337, 276, 709
247, 337, 276, 709
247, 337, 276, 709
247, 337, 276, 709
246, 338, 276, 709
247, 337, 276, 709
245, 338, 276, 709
245, 338, 276, 709
245, 338, 276, 709
245, 338, 276, 709
245, 338, 276, 709
245, 338, 276, 709
244, 338, 276, 709
244, 338, 276, 709
244, 338, 276, 709
243, 338, 276, 709
243, 338, 276, 709
243, 338, 276, 709
243, 338, 276, 709
243, 338, 276, 709
243, 339, 276, 709
243, 338, 276, 709
242, 338, 276, 709
242, 338, 276, 709
242, 339, 276, 709
242, 338, 276, 709
241, 339, 276, 709
241, 339, 276, 709
241, 338, 276, 709
241, 339, 276, 709
241, 339, 276, 709
240, 339, 276, 709
241, 338, 276, 709
240, 339, 276, 709
240, 339, 276, 709
240, 339, 276, 709
240, 339, 276, 709
239, 339, 276, 709
239, 339, 276, 709
239, 339, 276, 709
239, 339, 276, 709
239, 339, 276, 709
238, 339, 276, 709
238, 339, 276, 709
238, 339, 276, 709
238, 339, 276, 709
238, 339, 276, 709
237, 339, 276, 709
237, 339, 276, 710
237, 339, 277, 710
236, 339, 276, 709
236, 339, 276, 710
236, 339, 276, 710
236, 339, 276, 710
236, 340, 276, 710
235, 339, 276, 710
236, 339, 276, 710
235, 339, 276, 710
235, 340, 276, 710
235, 340, 276, 710
235, 340, 276, 710
235, 340, 276, 710
235, 340, 276, 710
235, 340, 276, 710
234, 340, 276, 710
234, 340, 276, 710
234, 340, 276, 710
234, 340, 276, 710
234, 340, 276, 710
234, 340, 276, 710
233, 340, 276, 710
233, 340, 276, 710
233, 340, 276, 710
233, 340, 276, 710
233, 340, 276, 710
232, 340, 276, 710
232, 340, 276, 710
232, 340, 276, 710
232, 340, 276, 710
232, 340, 276, 710
232, 340, 276, 710
231, 341, 276, 710
231, 341, 276, 710
231, 341, 276, 710
231, 341, 276, 710
231, 341, 276, 710
231, 341, 276, 710
230, 341, 276, 710
230, 341, 276, 710
230, 341, 276, 710
230, 341, 277, 710
229, 342, 277, 710
229, 341, 277, 710
229, 341, 277, 710
229, 341, 277, 710
229, 341, 277, 710
229, 341, 277, 710
229, 341, 277, 710
229, 341, 277, 710
228, 341, 277, 710
228, 341, 277, 712
228, 341, 277, 712
228, 341, 277, 712
227, 341, 278, 712
227, 341, 278, 712
227, 341, 278, 712
227, 342, 278, 712
227, 341, 278, 712
226, 342, 278, 712
226, 342, 278, 712
226, 342, 278, 712
226, 342, 278, 712
225, 342, 278, 712
225, 342, 278, 712
225, 342, 278, 712
225, 342, 278, 712
